State,County_FIPS,Nearby_Station_Identifiers_(USAF_WBAN),County_Name
PA,42035,72510514770|72510599999|72511954792|72511999999|72512014761|72512099999|72512854739|72512899999|72514014778|72520399999|99999914761|99999914770|99999914778|99999954783,Clinton County
MO,29201,7204813817|72048199999|72048899999|7232903935|7233003975|7234893935|72349399999|74908699999|9999993817|99999993825,Scott County
LA,22069,72231953943|72231999999|7223903931|72239099999|7228203949|72282099999|72282153988|72282263903|74754013934|74754093915|74754099999|9999993931|99999993915,Natchitoches Parish
IL,17203,7201414868|72014199999|7221494899|72214999999|7221714889|72217199999|72439754831|72439799999|72532014842|72532514816|72532599999|74460099999|7446724862|74467299999|99999914816|99999914842|A000174868,Woodford County
OK,40123,72035923902|72204453930|72204499999|72205153932|72205199999|72217353951|72217399999|72218793911|72218799999|72352953929|72352999999|72355593940|72355599999|99999913965|A0000453929,Pontotoc County
SC,45071,720596189|720597190|720599192|720601193|720634220|72310013883|72310453867|72310499999|72312453874|72312499999|72312693804|72312699999|99817799999|99999913883|99999953867|99999993804,Newberry County
GA,13029,69270499999|72030163846|72030199999|720671248|72067199999|7220703822|72207799999|7220903875|72209099999|722691366|72269199999|74780413824|74780499999|74780563818|74780599999|74908599999|99247099999|99438099999|99699099999|99700099999|99730199999|99801099999|9999993822|99999913853,Bryan County
AZ,4009,72274699999|72274793084|72274799999,Graham County
IN,18107,720575173|72057599999|72081599999|72437093823|72437099999|72437193823|7243733868|72437393823|72437399999|72438093819|72438453842|72438499999|72438614835|9999993868|99999914835|99999993819|99999993823,Montgomery County
VA,51149,7202783704|72027899999|7202853734|72028599999|7202973730|72029799999|720498153|720501155|72050199999|72077799999|72308313763|72308399999|72308493775|72308499999|72308693741|72308699999|72308793735|72308799999|7240073719|72400799999|72401013740|72401493714|72401499999|72401513726|72401599999|72401993773|72401999999|72402993775|72402999999|74598013702|74598099999|99731599999|99770899999|99778299999|99778399999|99778699999|99785299999|99801799999|99999913726|99999913740|99999913742|99999913763|99999993735,Prince George County
MO,29109,720479149|72349099999|72349513987|72440013995|99999913987|99999913995|99999923908|A51256451,Lawrence County
AL,1047,72036263874|72226013895|72226513821|72226599999|72226613850|72226699999|7222903881|72229099999|9999993881|99999913895|99999923802|99999963858|99999963891|99999963893|99999963897,Dallas County
VA,51195,72026463827|72026499999|720768274|72405853818|72405899999|72411763802|72411799999|72413399999|A06800120,Wise County
OH,39039,72070999999|7242984850|72429899999|7252544851|72525499999|72536094830|72536614825|99999914825|99999994830,Defiance County
WI,55083,720589185|72058999999|72645014898|7264584824|72645899999|72645999999|72650254832|72650299999|7266264864|72662699999|99406299999|99497699999|99821699999|99999914831|99999914898|A07056464,Oconto County
MN,27041,72058299999|72058599999|72065899999|72654399999|7265474931|72654799999|72655714910|72656194997|72656199999|7265654948|72656599999|72657294966|72750754904|72750799999|72751454910|72751499999|99999914910|A07357182,Douglas County
TX,48049,72015099999|720771276|72266693943|72266699999|72362893942|72362899999|74735553997|74735599999|74901699999,Brown County
IL,17081,72207463840|72207499999|7243303879|72433099999|72433593894|72433599999|72433693810|72433699999|7243373838|7243393865|72433999999|74465253897|74465299999|74465363814|74465399999|74465653891|74465699999|74465753887|74465799999|74465853889|74465899999|74465953822|74465999999|9999993838|99999993810,Jefferson County
IN,18017,72026654809|72026699999|720593187|72059399999|720736265|720961336|72438614835|72438754807|72438799999|72533499999|72533594833|72533599999|74421494852|74421499999|744660388|99999914835,Cass County
SC,45029,72012063837|72012099999|720598191|720602194|720606198|72060699999|720609201|72060999999|720612203|720632218|72208013880|72208399999|72208593831|72208613758|72208699999|72208899999|72311553854|72311599999|74909099999|99423099999|99717499999|99737799999|99768699999|99798199999|99799099999|99818799999|99999913758|99999913782|99999913880|99999953854|99999993831|99999993844,Colleton County
NC,37197,72207953888|72207999999|7230103810|72305563816|72305599999|7231453810|72314653892|72314699999|72315663812|72315699999|72316563821|72316599999|72317013723|72317763807|72317799999|72319193807|72319393807|72319399999|7420773763|9999993810|99999913723|99999993807,Yadkin County
AR,5063,72037713917|72037799999|72218853985|72218899999|72340693991|72340699999|72344853934|72344899999|74909599999|99999923904|99999993907|99999993991,Independence County
IL,17027,72297263878|72297299999|7243303879|72433099999|72433593894|72433599999|7243373838|72433813802|72433899999|72439499999|7243953958|72439599999|7253143960|72531499999|74465363814|74465399999|74465753887|74465799999|9999993838,Clinton County
AR,5009,72343953918|72343999999|72344613971|7234473918|72344799999|72345013971|9999993918|99999913971,Boone County
IL,17121,7243303879|72433099999|72433593894|72433599999|7243373838|74465653891|74465699999|74465753887|74465799999|74465853889|74465899999|74465953822|74465999999|74466199999|9999993838|99999993816,Marion County
IN,18133,720575173|72057599999|72081599999|72437093823|72437099999|72437193823|7243733868|72437393823|72437399999|7243753893|72437599999|72438093819|72438453842|72438499999|9999993868|99999993819|99999993823,Putnam County
MI,26033,69026099999|7203214893|72032199999|72037554844|7263944874|72639499999|72734014847|7273444869|72734499999|72734514847|72734599999|72734699999|72734899999|72734999999|72737799999|72743554820|72743599999|99406199999|99406699999|99725799999|99726599999|99726699999|99726899999|99769799999|99779399999|99820399999|99825599999|99999994824,Chippewa County
LA,22011,72034653991|722248359|7223343976|72233499999|7223903931|72239099999|7224003937|72240413941|72240499999|7228203949|72282153988|72282263903|72525799999|74909899999|99826499999|999999423|9999993931|9999993937|99999913941|A0002253995,Beauregard Parish
FL,12027,72203412812|72203499999|72210612835|72210812894|72210899999|72211512871|72211599999|722118482|72211899999|72474199999|74796012804|74796099999|74904599999|74904699999|99422099999|99734699999|99999912835|99999992827,DeSoto County
VA,51073,7202853734|72028599999|7202973730|72029799999|720499154|720501155|72050199999|72307699999|72308013737|72308513750|72308693741|72308699999|72308793735|72308799999|72308899999|72401013740|72401993773|72401999999|72402599999|7240263716|72402699999|72402899999|72404999999|74598013702|74598099999|99371199999|99729999999|99730499999|99730599999|99730899999|99731399999|99731599999|99737199999|99769199999|99769399999|99770899999|99778299999|99778399999|99778699999|99785299999|99801799999|99824599999|9999993739|99999913737|99999913740|99999913742|99999913750|99999993731|99999993735,Gloucester County
NY,36031,72518499999|72518794733|72518799999|7262254742|72622564776|72622894740|72622899999|99999914772,Essex County
NC,37003,72207953888|72212853899|72212899999|72213263801|72213299999|72219863819|72219899999|7230103810|72305563816|72305599999|72314013881|7231453810|72314653892|72314699999|72314753870|72314799999|72314863859|72314899999|72315663812|72315699999|72316563821|72316599999|9999993810|99999913881,Alexander County
TN,47045,72016899999|7233463811|7233473809|72334799999|9999993809|9999993811|99999963820|A0002963820,Dyer County
KY,21083,720447437|7243503816|7467153816|9999993816,Graves County
VA,51093,7202783704|72027899999|7202853734|72028599999|7202973730|72029799999|720499154|72307513769|72307699999|72308013737|72308313763|72308399999|72308513750|72308693741|72308699999|72308793735|72308799999|72308899999|7240063701|72400699999|7240073719|72400799999|72401493714|72401499999|72401993773|72401999999|72402899999|72517213762|74598013702|74598099999|99371199999|99729999999|99730599999|99731599999|99737199999|99769199999|99769399999|99770899999|99778299999|99778399999|99778699999|99785299999|99801799999|99824599999|99999913737|99999913750|99999913759|99999913762|99999913763|99999913769|99999993731|99999993735,Isle of Wight County
AL,1039,72036163870|72036263874|72221999999|72223863873|72223899999|72223953861|72223999999|7222673878|72226799999|7222693850|72226999999|72227553843|72227599999|72227653820|72227699999|9999993850|9999993878|99999913885|99999923801|99999953843|99999963899|99999973802,Covington County
MD,24041,69117499999|720384124|72038499999|72038999999|72215813752|72215899999|722218356|72221899999|722244358|72224499999|72398093720|72404013721|7240433756|72404399999|72404593720|72404799999|72404899999|72405713701|72405799999|72406093721|72406593733|72406599999|72406793744|72406799999|72406999999|72529199999|7255143757|74594013705|74594099999|74594493784|74594599999|99440099999|99729699999|99729799999|99730299999|99730999999|99731299999|99768899999|99778199999|99799499999|99840999999|99999913710|99999913721|99999913725|99999913752|99999913777|99999993720|99999993721,Talbot County
MS,28003,720924311|72092499999|72330193862|72330393862|72332093862|99999923803,Alcorn County
IA,19099,7203124964|72031299999|72035154919|72035199999|72529214976|72546014933|72546194988|72546199999|7254644977|72546499999|7254664938|72546699999|7254694913|72546999999|72547294989|72547299999|7254864906|72548699999|7254934962|72549399999|99999914933|99999954902,Jasper County
VT,50001,72102899999|72516594737|72516599999|72611454771|72611499999|72614594705|72617014742|999999425|99999914742|99999994705,Addison County
IN,18083,720903441|72432093817|72432599999|72436553896|72436599999|99999963898|99999993817,Knox County
TX,48321,72027312981|72027399999|720729435|72072999999|72220912986|72220999999|72235112953|72235199999|72241399999|72242699999|72243799999|72252712976|72252799999|72255512935|72255799999|99232099999|99479099999|99736299999|99818999999|99848799999|99999912935|99999912956,Matagorda County
WI,55045,720586183|72058699999|72065699999|72641014837|7264144873|72641499999|72641594854|72641599999|72641614921|72641699999|72650754907|72650799999|99999914837|99999914921,Green County
AL,1053,72222099999|72227553843|72227599999|72227653820|72227699999|99999913885|99999953843|99999963899,Escambia County
OH,39171,72070999999|7252544851|72525499999|72536094830|99999994830,Williams County
MN,27147,72097299999|72200354930|72200399999|72203254916|72203299999|72644014925|7265624943|72656299999|72656394969|72656399999|7265684961|72656899999|72657399999|72658514954|72658599999|72658994968|72658999999|7265964978|72659699999|7275664902|72756699999|999999343|99999914925,Steele County
TX,48223,72030253963|72030299999|72031153962|72031199999|72204253978|72204299999|72211253982|72211299999|72236293937|72236299999|72258793955|72258799999|72258813926|72258899999,Hopkins County
NC,37055,69020099999|69021099999|69022099999|69025099999|7202823736|72028299999|72103799999|72212199999|72304093729|72304099999|72304599999|72304613766|72304699999|72304799999|72307013786|7230743703|72307499999|72313993729|7236263737|72362693044|72362699999|74694313786|74694399999|74695099999|74907199999|74907299999|99277099999|99461099999|99659099999|99730799999|99820999999|99842699999|99999913745|99999913766|99999913774|99999913786|99999993729,Dare County
VA,51109,7203173735|72031799999|720498153|7221673718|72216799999|722692367|72269299999|72308493775|72308499999|72309893798|72309899999|7231143715|72311499999|72401013740|72401693736|72401699999|72402993775|72402999999|7240333706|72403399999|9999993759|99999913732|99999913740|99999993736,Louisa County
NE,31053,7203084992|72030899999|720405436|72040599999|720942323|72224154925|72224199999|72550014942|72552794978|72552799999|72553094918|72553099999|72553214942|72554014949|72556014941|7255644924|72556499999|72556594951|72556599999|72558099999|99999914941|99999914942,Dodge County
OH,39031,720414139|72041499999|72420014891|72428693824|72521014895|7252164842|72521699999|7252244852|72522499999|7252294858|72522999999|72524614891|74471499999|99999914891|99999914895|99999954851|99999954856|99999993824,Coshocton County
VA,51137,7203173735|72031799999|72071699999|7221673718|72216799999|722692367|72269299999|72308493775|72308499999|72309893798|72309899999|7231143715|72311499999|72401693736|72401699999|72402993775|72402999999|7240333706|72403399999|72403513773|7240363710|72403699999|72410593760|72410599999|9999993759|99999913732|99999913773|99999993736|A06884416,Orange County
PA,42059,7251174827|72511799999|72520094823|72520514762|72520599999|72520699999|74906799999|99999914762|A0003093795,Greene County
KS,20055,72043899999|72043999999|72451013985|72451523064|72451599999|99999913985,Finney County
IN,18069,72026654809|72026699999|720543167|72054399999|720736265|720961336|7243854828|72438599999|72438754807|72438799999|72533014827|72533499999|72533594833|72533599999|72533694895|72533699999|74421494852|74421499999|99999914827,Huntington County
IA,19187,72041254943|72041299999|72233154941|72233199999|7254574904|72545799999|7254584907|72545899999|7254684910|72546899999|72547294989|72547299999|7254784920|72547899999|7254864906|72548699999|72549094933|72549099999,Webster County
KY,21235,72035363875|72035399999|72037963882|72046599999|72095899999|7232913849|7232933849|7242433849|72435463815|72435499999|9999993814|9999993849|A06773334,Whitley County
TX,48227,7202713044|72027199999|7221223050|72212299999|7223243071|72232499999|72265523005|72265723041,Howard County
KY,21049,720448144|72044899999|72045299999|720455145|720456146|72422093820|72423353841|72423399999|99999963838|99999993820,Clark County
TX,48217,72029553972|72029599999|72029953966|72029999999|72032053981|72032099999|720779461|72209453984|72209499999|72210299999|72214353975|72214399999|72246953912|72246999999|72247953907|72247999999|72256013959|72256199999|72256353952|72256399999|7225933985|72259399999|7225993971|99999913928|99999913959,Hill County
OH,39127,720397131|72039799999|720414139|72041499999|72428014821|72428463825|72428499999|72428513812|72428599999|72428693824|72428899999|72429453844|72429499999|7252294858|72522999999|99999913812|99999914821|99999954851|99999993824|99999993834,Perry County
ND,38105,720861287|720863289|720868294|72086899999|720909300|72767094014|99999924014|99999994014,Williams County
KY,21071,72045799999|720458476|72046499999|72413199999|72413399999|7241903889|7242363889,Floyd County
MI,26061,72744014858|72744799999|72744899999|99773299999|99779599999|99798899999|99817699999|99999914858,Houghton County
NE,31157,72097899999|72097999999|72098199999|72098399999|72563524044|72563599999|72566024028|72566594073|72566599999|99999924028|99999994077,Scotts Bluff County
MI,26041,72019854813|72019899999|7254084881|72540899999|72628494836|72628499999|72639999999|72648094853|72648099999|72648299999|72648399999|72743899999|99218099999|99726299999|99779299999|9999994856|99999914851|99999954810,Delta County
TN,47029,72326013891|72326499999|99999913891,Cocke County
MN,27085,72036754927|72036799999|720386125|72038699999|72211454901|72211499999|7221444945|72214499999|7221684960|72216899999|72655614992|72655699999|7265674980|72656799999|7265694933|72656999999|72657594960|72657599999|72657614928|72657699999|72657994963|72657999999|7265834941|72658399999|72658514954|72658599999|7275174932|72751799999|99999914928,McLeod County
IL,17105,7201374867|72013799999|7201414868|72014199999|7221274880|72212799999|7221494899|72214999999|7221714889|72217199999|7221944896|72219499999|72439754831|72439799999|72531014806|72531099999|72534514834|72534599999|74460099999|99999914834|A000174868,Livingston County
GA,13299,720392128|72039299999|720671248|72067199999|72206263842|72206299999|72213013861|72213099999|72213513870|72316013870|74781013857|74781099999|99999913870,Ware County
UT,49047,72570594030|72570599999|72570799999|72570899999|74420099999,Uintah County
ME,23023,72606014764|72606699999|72607314615|72607399999|72607699999|72607994601|72607999999|72608799999|72615699999|72615799999|72618494709|72618499999|72618514605|72618799999|72713594623|72713599999|74392014611|74392599999|74392699999|74392799999|99278099999|99716099999|99717099999|99718099999|99727599999|99999914605|99999914611|99999914764|99999914784,Sagadahoc County
MN,27017,7202584997|72025899999|72065799999|7265584914|72655899999|7274494954|72744999999|72745014913|7274564919|72745699999|72750494999|72750499999|99726999999|99999914913|99999954932,Carlton County
IN,18103,72026654809|72026699999|720736265|720961336|72438754807|72438799999|72533014827|72533499999|72533594833|72533599999|74421494852|74421499999|99999914827,Miami County
MO,29105,72047799999|720949329|7244573938|72445799999|72445953931|72445999999|9999993938|99999923909,Laclede County
VT,50003,72516099999|72516594737|72516599999|72611554740|72611599999|72616654781|72616699999|74483099999|74484099999|99999954781,Bennington County
MO,29009,720479149|720616207|72349099999|72349513987|72440013995|99999913987|99999913995|A51256451,Barry County
TX,48241,72029653945|72029699999|720926313|72362953998|72362999999,Jasper County
MS,28095,720769275|72076999999|72330193862|72330393862|72330613825|72330699999|72330753893|72330799999|72332093862|746941389|99999913825,Monroe County
IN,18001,720543167|72054399999|72533014827|72533694895|72533699999|74421494852|74421499999|99999914827,Adams County
MS,28093,72054153806|72054199999|72058899999|72216513815|72216563808|72216599999|72236423903|72330599999|99999923803,Marshall County
WI,55085,720887297|72233254953|72233299999|72312314886|72312399999|7264044865|72640499999|7264494891|72644999999|72646854913|72646899999|72650454838|72650499999|7266264864|72662699999|72741099999|7274154803|72741599999,Oneida County
KY,21089,72044999999|72045299999,Greenup County
TX,48477,72030353973|72030399999|720617208|72211353979|72211399999|7224453904|72255353928|72255399999|72255412978|72255499999|72376123901|72376199999|7474603904|74909199999|9999993904|99999913905|A0000253928|A0000812978,Washington County
NC,37113,72025963844|72025999999|72217763811|72217799999|72304899999|A0000363844,Macon County
OH,39117,720414139|72041499999|720651232|720928315|72420014891|72428014821|72428463825|72428499999|72428513812|7242884804|72428899999|7252084855|72520899999|7252294858|72522999999|72524614891|99999913812|99999914821|99999914891|99999954856|99999993834,Morrow County
SD,46011,71168099999|720624211|72651594902|72651599999|72654614946|9999994990,Brookings County
IA,19179,7203094947|72030999999|7203124964|72031299999|72035154919|72035199999|72227454939|72529214976|7254544903|72545499999|72546514950|7254694913|7254934962|72549399999|7264984925|72649899999|99999914948|99999914950,Wapello County
KS,20035,72042399999|7245003928|72450213932|72450299999|7245043974|72450499999|7245053923|72450599999|74909799999|9999993923|9999993928|99999913998,Cowley County
MO,29219,720169116|72048499999|72048999999|72434013994|7243453966|72434753904|72434799999|99999913992|99999913994|99999993910,Warren County
TX,48147,72028753967|72028799999|72030299999|721044448|72236293937|72236299999|72254153914|72254199999|72258793955|72258799999|72258813926|72258899999|72267399999,Fannin County
NE,31111,72562024023|72563499999|99999924020|99999924023,Lincoln County
NE,31119,72224154925|72224199999|72344154921|72344199999|72556014941|72556594951|72556599999|74445099999|99999914941,Madison County
OK,40081,72035753993|72035799999|72035923902|72209953936|72209999999|72218793911|72218799999|72353013967|72353753913|72353799999|72354013919|72354099999|7235443954|72354499999|7235453965|72354599999|7235703948|72357099999|9999993948|99999913919|99999913967|99999953926|99999953927|99999993908,Lincoln County
NC,37165,69132499999|72103899999|7220433738|72204399999|7222433738|72303013714|72303099999|72303493747|72303499999|72303593740|72303599999|72310813776|72310899999|72310993782|72310999999|7231433720|72314399999|725294383|72529499999|74693093737|74693099999|74906899999|99999913711|99999913776|99999993737,Scotland County
IA,19167,72034454920|72034499999|7254844942|72548499999|7254894959|72548999999|7254954975|72549599999|72557014943|72650014972|99999914943,Sioux County
MT,30093,72678524135|72679124135|72679524161|72679624138|72679999999|72770024138|72772599999|72774024135|99999924135|99999924138|99999924161,Silver Bow County
WV,54025,7241203872|72412699999|72412753801|72412799999|9999993872,Greenbrier County
GA,13145,72095999999|72215099999|72217653884|72217699999|72219753819|72219799999|72225013829|72225099999|72225593842|74780663809|74780699999|7478073821|74780799999|74901199999|9999993874|99999913829|99999993842,Harris County
WI,55019,720859286|72641754911|72641799999|72643514991|7264524826|72645299999|72646594890|72646599999|72657494985|72657499999|99999914991,Clark County
IL,17057,72208994959|72208999999|7221574949|72215799999|72532014842|72532399999|74466653944|74466699999|99999914842,Fulton County
IN,18151,720543167|72054399999|72438814829|72438899999|72533014827|99999914827|99999914829,Steuben County
IL,17133,72433813802|72433899999|72439499999|7243953958|72439599999|7253143960|72531499999|74465363814|74465399999,Monroe County
KS,20079,72042399999|72043299999|72078199999|7245003928|7245043974|72450499999|7245053923|72450599999|72450613986|72450699999|72450953939|72450999999|9999993877|9999993923|9999993928|99999913986|99999913998|99999993905,Harvey County
ME,23015,72603699999|72606014764|72606699999|72607314615|72607399999|72607699999|72607994601|72607999999|72608799999|72615799999|72618494709|72618499999|72618514605|72618799999|72713594623|72713599999|74392014611|74392599999|74392699999|74392799999|99278099999|99437099999|99716099999|99717099999|99718099999|99727599999|99999914605|99999914611|99999914764|99999914784,Lincoln County
VA,51083,72307899999|7240173707|72401799999|72410013733|72410613728|72410699999|72411893797|72411899999|99999913728|99999913733,Halifax County
NY,36099,72498894704|72498899999|72514654773|72514699999|72515594761|72515599999|72515614748|72515699999|72519014771|72519454778|72519499999|72519599999|72523094704|72523099999|72529014768|99726499999|9999994727|99999914748|99999914768|99999914771|99999964758|99999994704,Seneca County
MN,27005,7221294939|72212999999|72656194997|72656199999|72745394967|72745794962|72745799999|7275054929|72750599999,Becker County
IL,17103,7220754871|72207599999|7220824876|72208299999|7221494899|72214999999|7221824890|72218299999|7222044996|72220499999|72532514816|72532599999|7253264894|72532699999|72543094822|74460099999|7446554808|74465599999|99999914816|99999914844|99999954811|99999994822,Lee County
MS,28085,720932317|7223573961|72235893919|99999993919,Lincoln County
MN,27103,72203254916|72203299999|7221684960|72216899999|72655454906|72655499999|72655614992|72655699999|72656394969|72656399999|7265674980|72656799999|7265694933|72656999999|72658514954|72658599999|72658694948|72658699999|7275174932|72751799999,Nicollet County
TN,47103,72077599999|720974344|721031348|72324599999|723249463|72326399999|74900099999|99999913855,Lincoln County
IL,17049,7243303879|72433099999|7243373838|72531753802|72531799999|74465653891|74465699999|74465753887|74465799999|74465853889|74465899999|74465953822|74465999999|74466199999|9999993838|99999993816,Effingham County
VA,51155,72318099999|72405663805|72405699999|72410753895|72410799999|72411013741|72411353881|72411399999|72411613868|72411699999|74598563806|74598599999|99999913741|99999913868,Pulaski County
MS,28107,72054153806|72054199999|72058899999|720927314|72216513815|72216563808|72216599999|72236423903|72330599999|74907999999|99999923803,Panola County
NC,37175,72025963844|72025999999|7231503812|72315599999|74908299999|9999993812|99999953877|99999953878|A0000363844,Transylvania County
IL,17137,72297263878|72297299999|72439093822|74466263817|74466299999|74466353950|74466399999|74466653944|74466699999|99999993822,Morgan County
IA,19111,7203094947|72030999999|72542014931|7254544903|72545499999|72545514931|7254564921|72545699999|7254834930|72548399999|7264984925|72649899999|99999914931,Lee County
IN,18183,72026654809|72026699999|720543167|72054399999|720736265|72438814829|72438899999|72533014827|72533499999|72533594833|72533599999|7253544806|72535499999|74421494852|74421499999|99999914827|99999914829,Whitley County
SC,45027,720598191|720603195|720604196|720611202|720632218|72310453867|72310499999|7231053858|72310593833|72310599999|72310613744|723107371|72310799999|72311553854|72311599999|74790013849|74790099999|74792099999|99818799999|9999993858|99999913744|99999953854|99999953867|99999993833,Clarendon County
OH,39137,72070999999|720944324|7242984850|72429899999|7252544851|72525499999|72536094830|72536614825|99999914825|99999994830,Putnam County
KS,20121,7244683967|72446899999|72447593909|72447599999|7245083997|72450899999|99999993909,Miami County
KS,20057,72451013985|72451523064|72451599999|99999913985,Ford County
IN,18051,720903441|72432093817|72432599999|72436553896|72436599999|99999993817,Gibson County
TN,47117,72077599999|720974344|721031348|723249463|72326399999|72327013897|72327199999|72327313827|72327399999|74900099999|99999913855|99999913897,Marshall County
AR,5059,720394428|72039499999|72340113963|72340313963|7234153962|72341599999|723425373|72342599999|72343553921|72343599999|999999100|99999913963|99999953921,Hot Spring County
WV,54077,72032863832|72032899999|7241653725|72416599999|72417013729|7241753802|72417599999|72417613736|9999993733|99999913729|99999913736|99999913738|A000313725,Preston County
LA,22039,72034653991|720468466|72239099999|72240513976|72248713935|72282153988|72282199999|72282263903|72525799999|74754013934|74754093915|74754099999|74755099999|9999993939|99999913935|99999913976|99999993915,Evangeline Parish
TX,48189,72217423097|72217499999|72267023042|72267523021|99999923042,Hale County
VA,51023,72318099999|72410013733|72411013741|72411353881|72411399999|72411593757|72411599999|99999913733|99999913741,Botetourt County
IN,18073,720593187|72059399999|720736265|720961336|721029347|72438614835|7253274846|72532799999|7253374807|72533799999|726358384|72635899999|744660388|99733999999|99778799999|99999914835,Jasper County
MI,26165,72034054818|72034099999|7220934878|72209399999|72541614864|72541699999|7263644883|72636499999|72636799999|72638094814|72638414817|72638499999|72638594894|72638599999|72638699999|72638714850|7274364863|72743699999|99840599999|99999914817|99999914850|99999914857|99999994814,Wexford County
AL,1017,72026563833|72026599999|7222843892|72228499999|72228899999|74908999999,Chambers County
TN,47183,72278199999|7233463811|7233473809|72334799999|9999993809|9999993811|99999963820|A0002963820,Weakley County
KS,20061,72281953989|72455013947|72455099999|7245553936|72455599999|74909499999|99999953974,Geary County
IN,18027,720903441|72432599999|72436553896|72436599999|7243753893|72437599999|99999963898,Daviess County
AL,1109,72036263874|72036363872|72221999999|72223863873|72223899999|72223953861|72223999999|72226013895|72226513821|72226599999|7222673878|72226799999|72226813839|72226893843|72226899999|7222693850|72226999999|72227553843|72227599999|74907399999|74908999999|9999993850|9999993878|99999913839|99999913895|99999923801|99999953843|99999973802|99999993843,Pike County
MD,24011,69117499999|720384124|72038499999|72215813752|72215899999|722218356|72221899999|72398093720|7240433756|72404399999|72404593720|72404799999|72404899999|72405713701|72405799999|72406793744|72406799999|72406999999|72529199999|74002099999|74594599999|99440099999|99727699999|99729699999|99729799999|99730099999|99730299999|99731299999|99737299999|99768899999|99768999999|99778199999|99799499999|99840999999|99999913725|99999913752|99999993720,Caroline County
NE,31141,72344154921|72344199999|72551214989|72551299999|72556014941|72556594951|72556599999|74445099999|99999914941,Platte County
KS,20111,72200599999|72455613989|72455699999|72456513920|72456599999|74909499999|99999913920|99999913989|99999913990,Lyon County
NC,37017,69132499999|72027493799|72027499999|7202793705|72027999999|7220733727|72207399999|72301113748|72301313748|72302013748|72302099999|72303013714|72303099999|72303593740|72303599999|72310813776|72310899999|72310993782|72310999999|7469293702|74692999999|74693093737|74693099999|74906899999|99999913711|99999913748|99999913776|99999993737,Bladen County
IA,19125,7203124964|72031299999|72035154919|72035199999|72070154942|72070199999|72227454939|72529214976|72546014933|7254644977|72546499999|72546514950|7254664938|72546699999|7254694913|72546999999|7254934962|72549399999|99999914933|99999914948|99999914950|99999954902,Marion County
MI,26047,69026099999|7203214893|72032199999|7221454884|72214599999|7221864892|72218699999|72288899999|7254074854|72540799999|72634099999|72638899999|72639399999|72734714841|72734899999|7274344870|72743499999|72743554820|72743599999|7274364863|72743699999|99406199999|99773199999|99779399999|99825599999|9999994854|99999914841|99999954854,Emmet County
MN,27097,72036754927|72036799999|72058299999|72065899999|72655014926|72655594938|72655599999|7265784944|72657899999|72668254914|72668299999|7274754940|72747599999|72750099999|72750494999|72750499999|72750854915|72750899999|72751454910|72751499999|74466799999|99999914926,Morrison County
UT,49051,72056599999|72572424174|72572499999|9999994133|9999994143|99999924120|99999924122|99999953167|A000284116,Wasatch County
GA,13187,72040999999|722109355|72210999999|72218553838|72218599999|725258382|74780863803|74780899999|7478093832|74780999999|749483394|74948399999|A0001163848,Lumpkin County
AL,1079,69116499999|72030763804|72030799999|720413138|72041399999|720505156|72077399999|72203163839|72203199999|72227953852|72227999999|7232303856|72323163883|72323199999|72323513896|74908099999|9999993856|99999913896|99999963839|99999963867|99999963868|99999963894|99999963895,Lawrence County
TN,47143,72324013882|72324499999|72324653868|7232503847|7232653847|723274372|72327499999|72427053868|72427099999|9999993841|9999993847|99999913882|99999963855,Rhea County
OK,40089,720559172|72341099999|72375953990|72375999999,McCurtain County
IL,17011,7201414868|72014199999|7221494899|72214999999|7221824890|72218299999|72532514816|72532599999|7253264894|72532699999|74460099999|99999914816|99999954811|A000174868,Bureau County
FL,12129,72094599999|72214093805|72220012832|72220099999|72222453862|72222499999|72473999999|74908499999|99404599999|99408699999|99799299999|99999912832|99999993805|A0000953862,Wakulla County
NM,35055,720411137|72041199999|72365999999|7236633012|72366399999|9999993090,Taos County
TX,48449,72030253963|72031153962|72031199999|72204253978|72204299999|72211253982|72211299999|72236293937|72236299999|72258793955|72258799999,Titus County
IL,17021,72297263878|72297299999|7243373838|72439093822|7253163887|72531699999|74466263817|74466299999|7446724862|74467299999|9999993838|99999993822,Christian County
MO,29107,72030653879|72030699999|72040299999|72047899999|72048399999|720636222|72063699999|721045354|72104599999|722367363|72236799999|7244533994|72445399999|72446113988|72446313988|72446399999|7244663929|72446699999|72446713930|72446799999|9999993929|99999913930|99999913988|99999913991,Lafayette County
LA,22047,720468466|720587184|72058799999|720967457|721046460|72104699999|7223143934|72231453915|72231499999|72231713970|72232013970|72232899999|72232912936|72232999999|72240312968|72240399999|72240513976|74799499999|99843899999|999999460|9999993934|99999912988|99999913970|99999913976|99999953960,Iberville Parish
TX,48025,72031612984|72031699999|720391127|72039199999|72039699999|722369365|72236999999|72251012924|72251712932|72251812974|72251899999|72252412972|72252499999|72255612925|74905799999|99816599999|99848299999|99848499999|99999912922|99999912925,Bee County
WV,54045,72016063884|72016099999|7241203872|72413399999|72414013866|7242503860|9999993860|9999993872|99999913866|A0002163884,Logan County
VA,51001,72308899999|72308913755|72402093739|72402099999|72402493739|72402599999|7240263716|72402699999|72402799999|72402899999|72404999999|99730499999|99730899999|99731399999|99737199999|9999993739|99999913755|99999993739,Accomack County
OH,39079,720397131|72039799999|72070599999|99999993818,Jackson County
