State,County_FIPS,Average_Distance_to_Stations_(miles),Station_Identifiers_(USAF_WBAN),Nearest_Station,Nearest_Station_Distance,County_Name
VA,51059,25.687924993940936,7203173735|72031799999|722692367|72269299999|72309893798|72309899999|72403093738|7240333706|72403399999|72403513773|7240363710|72403699999|72403793728|72403799999|72405013743|7240553714|72405599999|99440099999|99729699999|99731499999|99999913743|99999913760|99999913773|99999993734,724037-93728,9.697956079157178,Fairfax County
CA,6013,28.54942522461294,720406135|72040699999|720576174|72057699999|720646228|72093599999|72482893241|72482899999|72483023232|72492023237|72492723285|72492799999|72493023230|72493099999|72493593228|72493599999|72493623254|72493723289|72493799999|72493893231|72493899999|72493999999|72494023234|72494399999|72494523293|72494693232|72494699999|72494799999|72495023250|72495023254|72495593227|72495599999|72495623211|72495899999|72585093228|74016499999|74503999999|74504099999|74504599999|74506023239|74506599999|74509023244|74509099999|74509799999|74516023202|74516099999|74516599999|74918099999|99401699999|99403399999|99403499999|99403699999|99404199999|99773499999|99801199999|99816399999|99819799999|99847499999|99847599999|99847699999|99847799999|99847899999|99847999999|99849699999|99999923202|99999923230|99999923232|99999923234|99999923237|99999923239|99999923242|99999923244|99999923254|99999923272|99999923293|99999993211|99999993228|A07049320,724950-23250,8.002228739254184,Contra Costa County
UT,49035,27.882657339319877,72056599999|72057299999|72472599999|72572024127|72572399999|72572424174|72572499999|72575024126|72575099999|72575524101|72575599999|9999994133|9999994143|99999924101|99999924120|99999924122|99999924126|99999953167|A000284116,A00028-4116,4.94102276307567,Salt Lake County
NC,37119,32.388882768066445,72027763843|72027799999|72103899999|72207953888|72207999999|72212853899|72212899999|72213263801|72213299999|72214863824|72214899999|7230103810|72305563816|72305599999|72314013881|7231453810|72314753870|72314799999|72315663812|72315699999|72319453872|72319499999|725294383|72529499999|9999993810|99999913881,723140-13881,7.047141608964253,Mecklenburg County
NC,37183,37.561755108315545,69132499999|7202883711|72028899999|720968340|7221313713|72213199999|7221413731|72214199999|7221933722|72219399999|7222013723|72220199999|72303013714|72303099999|72304499999|72306013722|72306613713|72306893759|72306899999|72317493783|72317499999|74693093737|74693099999|7469363712|74693699999|74693993785|74693999999|7469403708|74694099999|9999993758|99999913713|99999913746|99999993737,723060-13722,10.189536001450065,Wake County
GA,13121,26.71893914315738,720674249|720714252|72089799999|720966339|722109355|72210999999|72215099999|72215653873|72215699999|72217653884|72217699999|72218553838|72218599999|72219013874|7221953888|72219599999|72219653863|72219699999|72219753819|72219799999|72227013864|72227099999|72227399999|74780863803|74780899999|7478093832|74780999999|74781263813|74781299999|99999913864|99999913874|99999993830|A0001163848,722195-99999,3.295239610727654,Fulton County
MD,24031,32.518874763444806,72033493764|72033499999|720384124|72038499999|7206993724|72069999999|72208113730|72208199999|72215813752|72215899999|722244358|72224499999|7228233749|72282399999|72404799999|72406093721|72406499999|72406593733|72406599999|72406693706|72406699999|72406793744|72406799999|74594013705|74594099999|74594493784|74594599999|74907099999|99440099999|99729699999|99730299999|99731499999|99778199999|99799499999|99840999999|99999913710|99999913725|99999913730|99999913749|99999913751|99999913752|99999913777|99999993721,720334-93764,2.911672358310093,Montgomery County
AZ,4019,40.31333121279561,720339121|72033999999|72274023160|74916799999|99999923160|99999953006|99999953131,999999-53006,34.41127134376562,Pima County
TX,48085,34.66726375490008,72028753967|72028799999|72029153970|72029199999|72030299999|721044448|72209453984|72209499999|72214353975|72214399999|72247953907|72247999999|72248953911|72248999999|72254153914|72254199999|72255293929|72255299999|72258013960|72258113960|72258313960|72258593901|72258813926|72258899999|7225893991|72258999999|7225903927|72259453909|72259499999|7225983970|72259899999|7225993971|72259999999|72267399999|9999993927|99999913907|99999993901,722541-99999,0.7041316854195107,Collin County
MO,29189,19.453595210332296,720169116|72048999999|72434013994|7243453966|72434753904|72434799999|99999913994|99999993910,999999-93910,8.215819446922092,St. Louis County
